Date,Close/Last,Volume,Open,High,Low,sentiment
2017-07-19,21.684,95188212,21.882,22.11,21.548,0.0614907730673316
2017-07-20,21.9947,77137701,21.7933,22.0147,21.6133,0.1149431554524362
2017-07-21,21.8933,73075583,21.964,22.0838,21.72,0.0818632587859425
2017-07-24,22.8347,128974316,22.016,22.8933,22.0007,0.1579378260869565
2017-07-25,22.64,104668928,23.0,23.04,22.2767,0.111681279620853
2017-07-26,22.9233,72142674,22.6907,23.0333,22.5413,0.1027342372881355
2017-07-27,22.2973,124288123,23.0667,23.1667,21.7527,0.0794262872628726
2017-07-28,22.338,73048328,22.4593,22.64,22.1673,0.1144114285714285
2017-07-31,21.5647,127881746,22.3667,22.766,21.4027,0.0407896373056994
2017-08-01,21.3047,124274893,21.5333,21.63,21.0753,0.0630551785714285
2017-08-02,21.726,179135160,21.2627,21.808,20.748,0.095481406044678
2017-08-03,23.1393,202863949,23.022,23.3333,22.8767,0.0703005770816158
2017-08-04,23.794,138499356,23.1333,23.818,22.8867,0.1267081081081081
2017-08-07,23.678,94639918,23.8233,23.9653,23.5167,0.0411996610169491
2017-08-08,24.348,111477514,23.8353,24.572,23.8267,0.0871065292096219
2017-08-09,24.2353,103217678,24.0667,24.6667,23.93,0.1122852459016393
2017-08-10,23.6933,105945757,24.1067,24.4434,23.644,0.1259485193621868
2017-08-11,23.858,65363397,23.798,24.084,23.5747,0.0894444117647058
2017-08-14,24.2533,67619501,24.3087,24.5107,24.1733,0.1187488997555012
2017-08-15,24.1553,46268992,24.3467,24.366,23.958,0.083088178913738
2017-08-16,24.194,51092569,24.2,24.4333,24.168,0.1269536082474227
2017-08-17,23.4613,75162337,24.0807,24.22,23.4393,0.0670265573770491
2017-08-18,23.164,80862035,23.5273,23.6,23.0533,0.0650627177700348
2017-08-21,22.524,97347701,23.0547,23.0547,22.1233,0.0736880597014925
2017-08-22,22.7567,64713988,22.742,22.816,22.4915,0.1171787401574803
2017-08-23,23.518,74129168,22.5993,23.566,22.5536,0.1609684065934066
2017-08-24,23.5287,68573576,23.5013,23.7773,23.316,0.0793838487972508
2017-08-25,23.2033,52127764,23.616,23.7127,23.1533,0.1167061224489795
2017-08-28,23.044,56193572,23.152,23.1567,22.648,0.1009871794871794
2017-08-29,23.1573,61039514,22.632,23.27,22.5833,0.1504354330708661
2017-08-30,23.5453,51062449,23.3113,23.5647,23.1333,0.1019003773584905
2017-08-31,23.7267,60949920,23.57,23.896,23.5213,0.0827054347826087
2017-09-01,23.6933,45728227,23.7413,23.8393,23.5794,0.1152824561403508
2017-09-05,23.306,57546001,23.5867,23.6993,23.0593,0.100475965665236
2017-09-06,22.9687,61229984,23.3,23.3986,22.7707,0.1068926724137931
2017-09-07,23.374,63525643,23.0653,23.4987,22.8967,0.0898902173913043
2017-09-08,22.8933,48919971,23.266,23.3187,22.82,0.0791831578947368
2017-09-11,24.246,114764943,23.4233,24.2473,23.3333,0.1212058500914076
2017-09-12,24.1833,89493015,24.2993,24.584,24.0267,0.0595937915742793
2017-09-13,24.4153,62567744,24.2547,24.538,23.9727,0.1162555240793201
2017-09-14,25.176,107553891,24.2887,25.1973,24.1753,0.1403898050974512
2017-09-15,25.3207,81108364,24.9673,25.3333,24.8467,0.1121495677233429
2017-09-18,25.6667,107666541,25.35,25.974,25.1787,0.1329935742971887
2017-09-19,25.0067,96528072,25.3333,25.4927,24.9047,0.0977358974358974
2017-09-20,24.9273,73649333,24.8667,25.2166,24.738,0.0954758893280632
2017-09-21,24.432,69163045,24.9933,25.122,24.3007,0.0643853383458646
2017-09-22,23.406,122143364,24.4327,24.66,23.392,0.0703781563126252
2017-09-25,22.9993,113807313,23.5433,23.8313,22.8587,0.0767476063829787
2017-09-26,23.0167,107244681,23.3953,23.416,22.7267,0.0487305210918114
2017-09-27,22.7313,90410580,23.3267,23.4326,22.7,0.09471
2017-09-28,22.64,79646645,22.6587,22.85,22.36,0.0543501483679525
2017-09-29,22.74,76485727,22.7907,22.9787,22.5734,0.114643842364532
2017-10-02,22.7687,78413166,22.8347,22.9133,22.3673,0.0452967010309278
2017-10-03,23.2093,151838174,22.3933,23.2367,22.0853,0.0819214084507042
2017-10-04,23.6673,122219864,23.4167,23.908,23.3067,0.0841142372881356
2017-10-05,23.6887,62518664,23.7333,23.829,23.4233,0.1309609065155807
2017-10-06,23.792,64092958,23.54,24.0066,23.4833,0.1488994525547445
2017-10-09,22.8627,111921859,23.31,23.45,22.8447,0.1298736245954692
2017-10-10,23.706,104583893,23.12,23.7087,23.0354,0.1278777955271565
2017-10-11,23.64,67420961,23.5927,23.84,23.41,0.1566312649164677
2017-10-12,23.712,61103249,23.53,23.9853,23.5093,0.1874075880758807
2017-10-13,23.7047,53082078,23.7987,23.8993,23.5787,0.2031243749999999
2017-10-16,23.3733,80596310,23.584,23.632,23.144,0.134936569579288
2017-10-17,23.7167,49354325,23.394,23.748,23.338,0.1425101408450704
2017-10-18,23.9767,74040323,23.7313,24.2,23.6087,0.1661151578947368
2017-10-19,23.454,75835687,23.704,23.8098,23.2133,0.1266584158415841
2017-10-20,23.0067,73884818,23.5127,23.6367,22.956,0.1531717616580311
2017-10-23,22.468,86093927,23.3253,23.33,22.4167,0.126444071146245
2017-10-24,22.4893,67285346,22.5867,22.8533,22.4107,0.0941959595959596
2017-10-25,21.7227,128754221,22.4467,22.5,21.5707,0.0745923214285714
2017-10-26,21.7447,75151267,21.852,22.0153,21.5467,0.1106164215686274
2017-10-27,21.3913,104525423,21.3167,21.6393,21.1107,0.0557225378787878
2017-10-30,21.3387,63714253,21.2787,21.5853,21.15,0.1073424615384615
2017-10-31,22.102,84750888,21.3487,22.13,21.3453,0.1652296116504854
2017-11-01,21.4053,123637243,22.15,22.1739,21.3507,0.0590950765136393
2017-11-02,19.9507,296569052,20.0087,20.5793,19.5087,0.0427734567901234
2017-11-03,20.406,133288928,19.9667,20.4167,19.6753,0.0842331641285956
